製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件,pmda_薬効分類,pmda_リスク区分
ナリピタン,原沢製薬工業,指定第2類,精神障害,体力虚弱で、冷え症で貧血の傾向があり疲労しやすく、ときに下腹部痛、頭重、めまい、肩こり、耳鳴り、動悸などを訴えるものの次の諸症:月経不順、月経異常、月経痛、更年期障害、産前産後あるいは流産による障害(貧血、疲労倦怠、めまい、むくみ)、めまい・立ちくらみ、頭重、肩こり、腰痛、足腰の冷え症、しもやけ、むくみ、しみ、耳鳴り,成人(15歳以上)  1回  4錠 15歳未満7歳以上  1回  3錠  7歳未満5歳以上  1回  2錠 1日3回 食前又は食間に水又は白湯で服用,15,"アミノ安息香酸エチル
アロエ末
カフェイン水和物
クロルフェニラミンマレイン酸塩
チアミン塩化物塩酸塩
ニコチン酸アミド
パパベリン塩酸塩
リボフラビン",禁止物質なし,,,,
雲仙散,摩耶堂製薬,指定第2類,筋肉痛,"腰痛,背痛,五十肩,筋肉痛,神経痛,関節炎,リウマチ",次の量を食間に水又はお湯で服用してください。  [年齢:1回量:1日服用回数] 成人:1包:3回 8歳〜15歳:1/2包:3回 4歳〜7歳:1/3包:3回 4歳未満:服用しないこと  ■服用時間を守りましょう。 食間:食後2〜3時間後の空腹時を指します。,[年齢:1回量:1日服用回数] 成人:1包:3回 8歳〜15歳:1/2包:3回 4歳〜7歳:1/3包:3回 4歳未満:服用しないこと  ■服用時間を守りましょう,"カッコン
カンゾウ
キョウニン
ケイヒ
シャクヤク
ショウキョウ
ソウジュツ
タイソウ
ダイオウ
トウニン
ブクリョウ
ボウイ
ボウフウ
ボタンピ
マオウ
ヨクイニン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ニコレット,JNTLコンシューマーヘルス,指定第2類,禁煙補助薬,禁煙時のイライラ・集中困難・落ち着かないなどの症状の緩和,"タバコを吸いたいと思ったとき,1回1個をゆっくりと間をおきながら,30〜60分間かけてかむ。1日の使用個数は表を目安とし,通常,1日4〜12個から始めて適宜増減するが,1日の総使用個数は24個を超えないこと。禁煙になれてきたら(1ヵ月前後),1週間ごとに1日の使用個数を1〜2個ずつ減らし,1日の使用個数が1〜2個となった段階で使用をやめる。なお,使用期間は3ヵ月をめどとする。  [1回量:1日最大使用個数:使用開始時の1日の使用個数の目安(禁煙前の1日の喫煙本数):使用開始時の1日の使用個数の目安(1日の使用個数)] 1個:24個:20本以下:4〜6個 1個:24個:21〜30本:6〜9個 1個:24個:31本以上:9〜12個",,ニコチン,禁止物質なし,,,,
ニコチネルパッチ10,Haleonジャパン,第1類,禁煙補助薬,禁煙時のイライラ・集中困難・落ち着かないなどの症状の緩和,"タバコを吸いたいと思ったとき、1回1個をゆっくりと間をおきながら、30~60分間かけてかむ
1日の使用個数は次記を目安とし、通常、1日4~12個から始めて適宜増減するが、1日の総使用個数は24個を超えないこと
禁煙になれてきたら(1カ月前後)、1週間ごとに1日の使用個数を1~2個ずつ減らし、1日の使用個数が1~2個となった段階で使用をやめる
なお、使用期間は3カ月をめどとする
1回量:1個
1日最大使用個数:24個
使用開始時の1日の使用個数の目安
禁煙前の1日の喫煙本数20本以下の場合:1日4~6個使用
禁煙前の1日の喫煙本数21~30本の場合:1日6~9個使用
禁煙前の1日の喫煙本数31本以上の場合:1日9~12個使用
<用法・用量に関連する注意>
1.タバコを吸うのを完全に止めて使用すること
2.1回に2個以上かまないこと(ニコチンが過量摂取され、吐き気、めまい、腹痛などの症状が現れることがある)
3.辛みや刺激感を感じたらかむのを止めて、ほほの内側などに寄せて休ませること
4.本剤はガム製剤であるので飲み込まないことまた、本剤が入れ歯などに付着し、脱落・損傷を起こすことがあるので、入れ歯などの歯科的治療を受けたことのある人は、使用に際して注意すること
5.コーヒーや炭酸飲料などを飲んだ後、しばらくは本剤を使用しないこと(本剤の十分な効果が得られないことがある)
7.口内に使用する吸入剤やスプレー剤とは同時に使用しないこと(口内・のどの刺激感、のどの痛みなどの症状を悪化させることがある)",,ニコチン,禁止物質なし,,,,
ニコチネルスペアミント,Haleonジャパン,指定第1類,禁煙補助薬,禁煙時のイライラ・集中困難・落ち着かないなどの症状の緩和,"タバコを吸いたいと思ったとき、1回1個をゆっくりと間をおきながら、30~60分間かけてかみます
1日の使用個数は次記を目安とし、通常、1日4~12個から始めて適宜増減しますが、1日の総使用個数は24個を超えないでください
禁煙になれてきたら(1カ月前後)、1週間ごとに1日の使用個数を1~2個ずつ減らし、1日の使用個数が1~2個となった段階で使用をやめます
なお、使用期間は3カ月をめどとします
1回量:1個
1日最大使用個数:24個
使用開始時の1日の使用個数の目安
禁煙前の1日の喫煙本数20本以下の場合:1日4~6個使用
禁煙前の1日の喫煙本数21~30本の場合:1日6~9個使用
禁煙前の1日の喫煙本数31本以上の場合:1日9~12個使用
<用法・用量に関する注意>
1.タバコを吸うのを完全に止めて使用してください
2.1回に2個以上かまないでください(ニコチンが過量摂取され、吐き気、めまい、腹痛などの症状が現れることがあります)
3.辛みや刺激感を感じたらかむのを止めて、ほほの内側などに寄せて休ませてください
4.本剤はガム製剤ですので飲み込まないでくださいまた、本剤が入れ歯などに付着し、脱落・損傷を起こすことがありますので、入れ歯などの歯科的治療を受けたことのある人は、使用に際して注意してください
5.コーヒーや炭酸飲料などを飲んだ後、しばらくは本剤を使用しないでください(本剤の十分な効果が得られないことがあります)
5.口内に使用する吸入剤やスプレー剤とは同時に使用しないでください(口内・のどの刺激感、のどの痛みなどの症状を悪化させることがあります)",,ニコチン,禁止物質なし,,,,
ニコチネルマンゴー,Haleonジャパン,指定第2類,禁煙補助薬,禁煙時のイライラ・集中困難・落ち着かないなどの症状の緩和,"タバコを吸いたいと思ったとき、1回1個をゆっくりと間をおきながら、30~60分間かけてかみます
1日の使用個数は次記を目安とし、通常、1日4~12個から始めて適宜増減しますが、1日の総使用個数は24個を超えないでください
禁煙になれてきたら(1カ月前後)、1週間ごとに1日の使用個数を1~2個ずつ減らし、1日の使用個数が1~2個となった段階で使用をやめます
なお、使用期間は3カ月をめどとします
1回量:1個
1日最大使用個数:24個
使用開始時の1日の使用個数の目安
禁煙前の1日の喫煙本数20本以下の場合:1日4~6個使用
禁煙前の1日の喫煙本数21~30本の場合:1日6~9個使用
禁煙前の1日の喫煙本数31本以上の場合:1日9~12個使用
<用法・用量に関する注意>
1.タバコを吸うのを完全に止めて使用してください
2.1回に2個以上かまないでください(ニコチンが過量摂取され、吐き気、めまい、腹痛などの症状が現れることがあります)
3.辛みや刺激感を感じたらかむのを止めて、ほほの内側などに寄せて休ませてください
4.本剤はガム製剤ですので飲み込まないでくださいまた、本剤が入れ歯などに付着し、脱落・損傷を起こすことがありますので、入れ歯などの歯科的治療を受けたことのある人は、使用に際して注意してください
5.コーヒーや炭酸飲料などを飲んだ後、しばらくは本剤を使用しないでください(本剤の十分な効果が得られないことがあります)
6.口内に使用する吸入剤やスプレー剤とは同時に使用しないでください(口内・のどの刺激感、のどの痛みなどの症状を悪化させることがあります)",,ニコチン,禁止物質なし,,,,
加香ヒマシ油,健栄製薬,第2類,胃腸薬,腸内容物の急速な排除(食あたり等),"本剤は,次の用量を1日1回を限度として,必要時,そのまま又は水,牛乳などに浮かべて服用してください。 大人(15歳以上):20mL 11歳以上15歳未満:13mL 7歳以上11歳未満:10mL 3歳以上7歳未満:6mL  (添付のコップは10mLです。)",,ヒマシ油,禁止物質なし,,,,
乙字湯,東洋漢方製薬,第2類,胃腸薬,"大便がかたくて便秘傾向のあるものの次の諸症:痔核(いぼ痔),きれ痔,便秘","1包(1日量)につき水400mLを加えあまり強くない火にかけ200mLに煮詰め,紙袋とともに煎じかすを取り去り,大人(15才以上)は,食前1時間前又は食間空腹時に温服して下さい。小人(15才未満4才以上)は,空腹時に温服して下さい。  [年齢:1包(1日量)煎じ液:1日服用回数] 大人(15才以上):全量:3回〜2回に分けて 15才未満7才以上:2/3量:3回に分けて 7才未満4才以上:1/2量:3回に分けて 4才未満2才以上:1/3量:3回に分けて 2才未満:1/4量以下:3回に分けて",,"オウゴン
カンゾウ
サイコ
ショウマ
ダイオウ
トウキ",禁止物質なし,,,,
桂枝茯苓湯,東洋漢方製薬,第2類,筋肉痛,"比較的体力があり,ときに下腹部痛,肩こり,頭重,めまい,のぼせて足冷えなどを訴える次の諸症:月経不順,月経異常,月経痛,更年期障害,血の道症,肩こり,めまい,頭重,打ち身(打撲症),しもやけ,しみ","大人(15才以上)は1包(1日量)につき水400mLを加えあまり強くない火にかけ200mLに煮つめ,紙袋とともに煎じかすを取り去り,食前1時間前又は食間空腹時に温服して下さい。小人(15才未満7才以上)は同様に煎じて食間空腹時に温服して下さい。  [年齢:1包(1日量)煎じ液:1日服用回数] 大人(15才以上):全量:3〜2回に分けて 15才未満7才以上:2/3量:3回に分けて 7才未満:服用しないこと",1日量)煎じ液:1日服用回数] 大人(15才以上):全量:3〜2回に分けて 15才未満7才以上:2/3量:3回に分けて 7才未満:服用しないこと,"ケイヒ
シャクヤク
トウニン
ブクリョウ
ボタンピ",禁止物質なし,,,,
ケイブク(顆粒),東洋漢方製薬,第2類,筋肉痛,"比較的体力があり,ときに下腹部痛,肩こり,頭重,めまい,のぼせて足冷えなどを訴える次の諸症:月経不順,月経異常,月経痛,更年期障害,血の道症,肩こり,めまい,頭重,打ち身(打撲症),しもやけ,しみ",次の量を食間又は空腹時に水又は温湯にて服用して下さい。  [年齢:1回量:1日服用回数] 大人(15才以上):1包:3回 15才未満7才以上:2/3包:3回 7才未満:服用しないこと,[年齢:1回量:1日服用回数] 大人(15才以上):1包:3回 15才未満7才以上:2/3包:3回 7才未満:服用しないこと,"ケイヒ
ケイヒ末
シャクヤク
シャクヤク末
トウニン
トウニン末
ブクリョウ
ブクリョウ末
ボタンピ
ボタンピ末",禁止物質なし,,,,
健婦丸,栃本天海堂,第2類,筋肉痛,比較的体力があり、ときに下腹部痛、肩こり、頭重、めまい、のぼせて足冷えなどを訴える次の諸症:月経不順、月経異常、月経痛、更年期障害、血の道症、肩こり、めまい、頭重、打ち身(打撲症)、しもやけ、しみ,15才以上 1回30丸、1日3回、食前又は食間に服用 ■食間とは、食後2〜3時間を指します。,15,"ケイヒ末
シャクヤク末
トウニン末
ブクリョウ末
ボタンピ末",禁止物質なし,,,,
漢方ナイトミン,明治薬品,第2類,睡眠障害,体力中等度以下で、心身が疲れ、精神不安、不眠などがあるものの次の諸症:不眠症、神経症,"次の量を食間に水またはお湯で服用してください 年齢:1回量:1日服用回数 大人(15才以上):4錠:3回 15才未満:服用しないこと ●食間とは「食事と食事の間」を意味し,食後約2〜3時間のことをいいます","量を食間に水またはお湯で服用してください 年齢:1回量:1日服用回数 大人(15才以上):4錠:3回 15才未満:服用しないこと ●食間とは「食事と食事の間」を意味し,食後約2〜3時間のことをいいます","カンゾウ
サンソウニン
センキュウ
チモ
ブクリョウ",禁止物質なし,,,,
酸棗仁湯,東洋漢方製薬,第2類,睡眠障害,心身が疲れ弱って眠れないもの,"1包(1日量)につき水400mLを加えあまり強くない火にかけ200mLに煮つめ,紙袋とともに煎じかすを取り去り,食前1時間前又は食間空腹時に温服して下さい。  [年齢:1包(1日量)煎じ液:1日服用回数] 大人(15才以上):全量:3回〜2回に分けて 15才未満:服用しないこと",[年齢:1包(1日量)煎じ液:1日服用回数] 大人(15才以上):全量:3回〜2回に分けて 15才未満:服用しないこと,"カンゾウ
サンソウニン
センキュウ
チモ
ブクリョウ",禁止物質なし,,,,
防已黄耆湯,東洋漢方製薬,第2類,胃腸薬,"色白で疲れやすく,汗のかきやすい傾向のある次の諸症:肥満症(筋肉にしまりのない,いわゆる水ぶとり),関節痛,むくみ","大人(15才以上)は1包(1日量)につき水400mLを加えあまり強くない火にかけ200mLに煮つめ,紙袋とともに煎じかすを取り去り,3〜2回に分けて食前1時間前又は食間空腹時に温服して下さい。小人(15才未満4才以上)は次の量を1日3回に分けて服用して下さい。  [年齢:1包(1日量)煎じ液:1日服用回数] 大人(15才以上):全量:3〜2回に分けて 15才未満7才以上:2/3量:3回に分けて 7才未満4才以上:1/2量:3回に分けて 4才未満:服用しないこと",才以上):全量:3〜2回に分けて 15才未満7才以上:2/3量:3回に分けて 7才未満4才以上:1/2量:3回に分けて 4才未満:服用しないこと,"オウギ
カンゾウ
ショウキョウ
タイソウ
ビャクジュツ
ボウイ",禁止物質なし,,,,
ビトラックS,東洋漢方製薬,第2類,筋肉痛,ひざの痛み又はむくみ,次の量を食前又は食間又に水又は温湯にて服用して下さい。  [年齢:1回量:1日服用回数] 大人(15才以上):1包:3回 15才未満7才以上:2/3包:3回 7才未満4才以上:1/2包:3回 4才未満2才以上:1/3包:3回 2才未満:服用しないこと,用回数] 大人(15才以上):1包:3回 15才未満7才以上:2/3包:3回 7才未満4才以上:1/2包:3回 4才未満2才以上:1/3包:3回 2才未満:服用しないこと,"オウギ
カンゾウ
ショウキョウ
タイソウ
ビャクジュツ
ボウイ",禁止物質なし,,,,
ナイシトールG,小林製薬,第2類,鼻炎用薬,副鼻腔炎,"次の量を食前又は食間に水又はお湯で服用してください
大人(15歳以上):1回4錠
1日3回服用
15歳未満:服用しないこと
<用法・用量に関連する注意>
1.定められた用法・用量を厳守すること
2.吸湿しやすいため、服用のつどキャップをしっかりしめること
食間とは「食事と食事の間」を意味し、食後約2~3時間のことをいいます",15,"オウゴン
カッセキ
カンゾウ
キキョウ
ケイガイ
サンシシ
シャクヤク
ショウキョウ
セッコウ
センキュウ
ダイオウ
トウキ
ハッカ
ビャクジュツ
ボウショウ
ボウフウ
マオウ
レンギョウ",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ピュアCホワイト,米田薬品工業,第3類,その他,次の諸症状の緩和:しみ、そばかす、日やけ・かぶれによる色素沈着 次の場合の出血予防:歯ぐきからの出血、鼻出血 「ただし、これらの症状について、1ヵ月ほど使用しても改善がみられない場合は医師、薬剤師又は歯科医師に相談すること。」 次の場合のビタミンCの補給:肉体疲労時、妊娠・授乳期、病中病後の体力低下時、老年期,成人(15歳以上) 1回2錠 7歳以上15歳未満 1回1錠 7歳未満 服用しないでください。 1日3回 食前または食後に服用してください。,成人(15歳以上) 1回2錠 7歳以上15歳未満 1回1錠 7歳未満 服用しないでください,"アスコルビン酸
コハク酸d−α−トコフェロール
ピリドキシン塩酸塩
リボフラビン
L−システイン",禁止物質なし,,,,
ピュアナCチュアブル錠,米田薬品工業,第3類,その他,◎次の諸症状の緩和:しみ、そばかす、日やけ・かぶれによる色素沈着。 ◎次の場合の出血予防:歯ぐきからの出血、鼻出血。 「ただし、これらの症状について、1ヵ月ほど使用しても改善がみられない場合は、医師、薬剤師又は歯科医師に相談すること。」 ◎次の場合のビタミンCの補給:肉体疲労時、妊娠・授乳期、病中病後の体力低下時、老年期,15歳以上        1回4錠 7歳以上15歳未満    1回2錠 5歳以上7歳未満     1回1錠 ◎1日3回 食後、かむか、口中で溶かして服用してください。,5,"アスコルビン酸
アスコルビン酸カルシウム
リボフラビン酪酸エステル",禁止物質なし,,,,
ホワイピュアEX,第一薬品工業,第3類,その他,"〇次の諸症状※の緩和:しみ,そばかす,日やけ・かぶれによる色素沈着 〇次の場合※の出血予防:歯ぐきからの出血,鼻血 〇次の場合のビタミンCの補給:肉体疲労時,妊娠・授乳期,病中病後の体力低下時,老年期",次の1回量を1日2回服用してください。  [年齢:1回量] 成人(15歳以上):2錠 7歳以上15歳未満:1錠 7歳未満:服用させないこと,7,"アスコルビン酸
トコフェロールコハク酸エステルカルシウム
ニコチン酸アミド
パントテン酸カルシウム
ピリドキシン塩酸塩
リボフラビン
L−システイン",禁止物質なし,,,,
ハイシー1000,アリナミン製薬,第3類,その他,"次の諸症状※の緩和:しみ,そばかす,日焼け・かぶれによる色素沈着。 次の場合※の出血予防:歯ぐきからの出血,鼻出血。 次の場合のビタミンCの補給:肉体疲労時,妊娠・授乳期,病中病後の体力低下時,老年期","次の量を,食後に水またはお湯で服用すること。  [年齢:1回量:1日服用回数] 15歳以上:1包:1〜2回 15歳未満:服用しないこと",[年齢:1回量:1日服用回数] 15歳以上:1包:1〜2回 15歳未満:服用しないこと,"アスコルビン酸
リボフラビン酪酸エステル
L−アスコルビン酸ナトリウム",禁止物質なし,,,,
チョコラBBルーセントC,日東薬品工業,第3類,その他,1.次の諸症状の緩和:しみ、そばかす、日やけ・かぶれによる色素沈着 2.次の場合のビタミンCの補給:肉体疲労時、妊娠・授乳期、病中病後の体力低下時、老年期 3.次の場合の出血予防:歯ぐきからの出血、鼻出血,次の量を食前又は食後に水またはお湯で服用してください。  [年齢:1回量:1日服用回数]  成人(15歳以上):2錠:3回  7歳以上15歳未満:1錠:3回  7歳未満:服用しないこと,[年齢:1回量:1日服用回数]  成人(15歳以上):2錠:3回  7歳以上15歳未満:1錠:3回  7歳未満:服用しないこと,"アスコルビン酸
コハク酸d−α−トコフェロール
ニコチン酸アミド
ピリドキシン塩酸塩
リボフラビンリン酸エステルナトリウム
L−システイン",禁止物質なし,,,,
ビルタミンC-2000,至誠堂製薬,第3類,その他,"次の諸症状※の緩和:しみ,そばかす,日焼け・かぶれによる色素沈着。 次の場合※の出血予防:歯ぐきからの出血,鼻出血。 次の場合のビタミンCの補給:肉体疲労時,妊娠・授乳期,病中病後の体力低下時,老年期",次の量を食後又は食間に服用します。  [年齢:1回量:服用回数] 15才以上:1包:1日3回 11才以上15才未満:2/3包:1日3回 7才以上11才未満:1/2包:1日3回 3才以上7才未満:1/3包:1日3回 1才以上3才未満:1/4包:1日3回 1才未満:服用しないこと,5才未満:2/3包:1日3回 7才以上11才未満:1/2包:1日3回 3才以上7才未満:1/3包:1日3回 1才以上3才未満:1/4包:1日3回 1才未満:服用しないこと,"アスコルビン酸
リボフラビン
L−アスコルビン酸ナトリウム",禁止物質なし,,,,
東洋漢方のセンナ顆粒S(分包),東洋漢方製薬,指定第2類,胃腸薬,"便秘。便秘に伴う次の症状の緩和:頭重,のぼせ,肌あれ,吹出物,食欲不振,腹部膨満,腸内異常醗酵,痔","[年齢:1回量:1日服用回数] 大人(15才以上):1/2〜1包:2回 15才未満11才以上:1/3〜2/3包:2回 11才未満7才以上:1/4〜1/2包:2回 7才未満:服用しないこと  前記の量を朝夕の空腹時に服用して下さい。ただし,初回は最小量を用い,便通の具合や状態を見ながら少しずつ増量又は減量すること。",才以上):1/2〜1包:2回 15才未満11才以上:1/3〜2/3包:2回 11才未満7才以上:1/4〜1/2包:2回 7才未満:服用しないこと  前記の量を朝夕の空腹時に服用して下さい,センナ末,禁止物質なし,,,,
ミカサ浣腸N40,ムネ製薬,第2類,胃腸薬,便秘,12歳以上1回1個(40g)を直腸内に注入します。それで効果のみられない場合には、さらに同量をもう一度注入してください。,12,グリセリン,禁止物質なし,,,,
コトブキ浣腸40,ムネ製薬,第2類,胃腸薬,便秘,12歳以上1回1個(40g)を直腸内に注入します。それで効果のみられない場合には、さらに同量をもう一度注入してください。,12,グリセリン,禁止物質なし,,,,
グリセリン浣腸A10,ムネ製薬,第2類,胃腸薬,便秘,1歳以上6歳未満1回1個(10g)を直腸内に注入します。1歳未満の乳児に使用する場合は、1回1個の約半量(約5g)を容器の1/2線により量り、直腸内に注入します。なお、使用残液は廃棄してください。それで効果のみられない場合には、さらに同量をもう一度注入してください。,,グリセリン,禁止物質なし,,,,
スースカット浣腸10,ムネ製薬,第2類,胃腸薬,便秘,1歳以上6歳未満1回1個(10g)を直腸内に注入します。1歳未満の乳児に使用する場合は、1回1個の約半量(約5g)を容器の1/2線により量り、直腸内に注入します。なお、使用残液は廃棄してください。それで効果のみられない場合には、さらに同量をもう一度注入してください。,,グリセリン,禁止物質なし,,,,
コトブキ浣腸ひとおし,ムネ製薬,第2類,胃腸薬,便秘,12歳以上1回1個(30g)を直腸内に注入します。それで効果のみられない場合には、さらに同量をもう一度注入してください。,12,グリセリン,禁止物質なし,,,,
コトブキ浣腸40パステル,ムネ製薬,第2類,胃腸薬,便秘,"12歳以上1回1個(40g)を直腸内に注入します
それで効果のみられない場合には、さらに同量をもう一度注入してください
<用法・用量に関する注意>
1.用法・用量を厳守すること
2.本剤使用後は、便意が強まるまで、しばらくがまんすること(使用後、すぐに排便を試みると薬剤のみ排出され、効果がみられないことがある)
3.12歳未満の小児には使用させないこと
4.浣腸にのみ使用すること
5.無理に挿入すると、直腸粘膜を傷つけるおそれがあるので注意してください
6.冬季は容器を温湯(40°C)に入れ、体温近くまで温めると快適に使用できます",12,グリセリン,禁止物質なし,,,,
コトブキ浣腸30パステル,ムネ製薬,第2類,胃腸薬,便秘,"12歳以上1回1個(30g)を直腸内に注入します
それで効果のみられない場合には、さらに同量をもう一度注入してください
<用法・用量に関する注意>
1.用法・用量を厳守すること
2.本剤使用後は、便意が強まるまで、しばらくがまんすること(使用後、すぐに排便を試みると薬剤のみ排出され、効果がみられないことがある)
3.12歳未満の小児には使用させないこと
4.浣腸にのみ使用すること
5.無理に挿入すると、直腸粘膜を傷つけるおそれがあるので注意してください
6.冬季は容器を温湯(40°C)に入れ、体温近くまで温めると快適に使用できます",12,グリセリン,禁止物質なし,,,,
コリイス浣腸30,ムネ製薬,第2類,胃腸薬,便秘,12歳以上1回1個(30g)を直腸内に注入します。それで効果のみられない場合には、さらに同量をもう一度注入してください。,12,グリセリン,禁止物質なし,,,,
本草センナ錠,本草製薬,指定第2類,胃腸薬,"便秘。便秘に伴う次の症状の緩和:頭重,のぼせ,肌あれ,吹出物,食欲不振(食欲減退),腹部膨満,腸内異常発酵,痔","次の量を1日2回朝夕の空腹時に服用すること。 ただし,初回は最小量を用い,便通の具合や状態をみながら少しずつ増量又は減量すること。  [年齢:1回量:1日服用回数] 大人(15歳以上):2〜6錠:2回 11歳以上15歳未満:1〜4錠:2回 7歳以上11歳未満:1〜3錠:2回 5歳以上7歳未満:1〜2錠:2回 5歳未満:服用しないこと",] 大人(15歳以上):2〜6錠:2回 11歳以上15歳未満:1〜4錠:2回 7歳以上11歳未満:1〜3錠:2回 5歳以上7歳未満:1〜2錠:2回 5歳未満:服用しないこと,センナ末,禁止物質なし,,,,
第一三共胃腸薬コアブロック散剤,東亜薬品,第2類,胃腸薬,むかつき、嘔気、二日酔のむかつき・悪酔のむかつき,"次の量を水又はお湯で服用してください
成人(15歳以上):1回1包
1日3回服用
食間又は就寝前に服用してください
15歳未満:服用しないでください
(食間とは食事と食事の間で、前の食事から2~3時間後のことです)
<用法・用量に関連する注意>
用法・用量を厳守してください",15,"セトラキサート塩酸塩
ロートエキス
水酸化マグネシウム
沈降炭酸カルシウム",禁止物質なし,,,,
ゼリア健胃内服液,ゼリア新薬工業,第2類,胃腸薬,"飲み過ぎ(過飲),吐き気(二日酔・悪酔のむかつき,胃のむかつき,嘔気,悪心,むかつき),嘔吐,胃弱,食欲不振(食欲減退),胸やけ,もたれ(胃もたれ),胸つかえ,胃部・腹部膨満感,消化不良,食べ過ぎ(過食)","成人(15才以上)1回1瓶,1日3回服用してください。なお,15才未満は服用しないでください。","なお,15才未満は服用しないでください","オウレン流エキス
キジツエキス",禁止物質なし,,,,
新バック液,全薬工業,第2類,胃腸薬,二日酔のむかつき・悪酔のむかつき、胃のむかつき、嘔気、悪心,"15歳以上1回1びん、1日3回食後に服用します
生薬配合製剤ですので、よく振ってから服用してください",,"アセンヤク
オウレン抽出液
カンゾウエキス
ケイヒ抽出液
ゲンチアナ抽出液
コショウ抽出液
ソウジュツ抽出液
チョウジ抽出液",禁止物質あり,常に禁止(競技会検査及び競技会外検査)セクション	:S3. ベータ−2作用剤,,,
ソルマックプラス,大鵬薬品工業,第2類,胃腸薬,"はきけ(二日酔・悪酔のむかつき,むかつき,胃のむかつき,嘔気,悪心),嘔吐,消化不良,食べ過ぎ(過食),飲み過ぎ(過飲),もたれ(胃もたれ),胃弱,食欲不振(食欲減退),胃部・腹部膨満感,胸やけ,胸つかえ","成人(15歳以上),1回1本(25mL)を1日2回服用して下さい。服用間隔は4時間以上おいて下さい。",15,"アルコール
ウコン流エキス
オウレンチンキ
カルニチン塩化物
カンゾウ抽出物
ケイヒチンキ
ゲンチアナチンキ
ソウジュツ流エキス
チョウジチンキ
ニンジン流エキス",禁止物質あり,常に禁止(競技会検査及び競技会外検査)セクション	:S3. ベータ−2作用剤,,,
ソルマックEX2,大鵬薬品工業,第2類,胃腸薬,"食べ過ぎ(過食),飲み過ぎ(過飲),もたれ(胃もたれ),はきけ(二日酔・悪酔のむかつき,むかつき,胃のむかつき,嘔気,悪心),嘔吐,胃弱,食欲不振(食欲減退),胃部・腹部膨満感,消化不良,胸やけ,胸つかえ",成人(15歳以上)1日1回1本(50mL)を服用して下さい。,15,"アルコール
ウコン流エキス
エンメイソウエキス
オウレンチンキ
カルニチン塩化物
カンゾウ抽出物
ケイヒチンキ
ゲンチアナチンキ
ソウジュツ流エキス
チョウジチンキ
ニンジン流エキス",禁止物質あり,常に禁止(競技会検査及び競技会外検査)セクション	:S3. ベータ−2作用剤,,,
高砂オウレン,高砂薬業,第2類,胃腸薬,胃弱、食欲不振、胃部・腹部膨満感、消化不良、食べ過ぎ、飲み過ぎ、胃のむかつき、下痢,成人(15歳以上)は1日量3gを、水約300mLで約半量になるまで煮つめ、滓(カス)をこして取り去り、食前または食間3回に分服する。  (食間とは、食後2〜3時間),,オウレン,禁止物質なし,,,,
高砂オウレン末,高砂薬業,第2類,胃腸薬,胃弱、食欲不振、胃部・腹部膨満感、消化不良、食べ過ぎ、飲み過ぎ、胃のむかつき、下痢,成人(15歳以上)は1回量 0.5 g、1日3回、食前または食間に服用する。  (食間とは、食後2〜3時間),,オウレン末,禁止物質なし,,,,
ストーゼ胃腸内服液,東宝製薬,第2類,胃腸薬,"食欲不振(食欲減退),胃部・腹部膨満感,消化不良,胃弱,食べ過ぎ(過食),飲み過ぎ(過飲),胸やけ,もたれ(胃もたれ),胸つかえ,吐き気(むかつき,胃のむかつき,二日酔・悪酔のむかつき,嘔気,悪心),嘔吐",成人(15才以上)1回1瓶(30mL)を1日2回服用する。服用間隔は4時間以上おくこと。 ※15才未満は服用しないでください。,※15才未満は服用しないでください,"ウイキョウ流エキス
エンゴサク流エキス
カルニチン塩化物
キジツエキス
ゲンチアナ流エキス
ショウキョウ流エキス
ソウジュツ流エキス
ニンジンエキス",禁止物質なし,,,,
太田胃散<内服液>,日新薬品工業,第2類,胃腸薬,二日酔のむかつき・悪酔のむかつき、胃のむかつき、悪心,"成人(15歳以上)1日1回、1本を食前、食後又は就寝前に服用してください
15歳未満は服用しないでください
生薬成分を含むため、沈殿を生じることがありますが、品質に影響はありませんよく振ってから服用してください",15,"ウイキョウ流エキス
カルニチン塩化物
カンゾウ抽出物
ケイヒ流エキス
ゲンチアナ流エキス
コウボク流エキス
ショウキョウ流エキス
ソウジュツ流エキス
チョウジエキス
チンピエキス
モッコウエキス",禁止物質あり,常に禁止(競技会検査及び競技会外検査)セクション	:S3. ベータ−2作用剤,,,
ガロール健芯液,健創製薬,第2類,胃腸薬,むかつき、二日酔のむかつき・悪酔のむかつき、悪心,"次の1回量を1日3回を限度として服用する
但し、服用間隔は4時間以上おくこと
成人(15歳以上):1回1本
15歳未満:服用しないこと",15,"カッコウ抽出液
カンゾウエキス
ケイヒ流エキス
ショウキョウ流エキス
ニンジンエキス
ビャクジュツエキス
塩化カルニチン
胆汁エキス",禁止物質なし,,,,
